Entity,Code,Year,"Average years of schooling gender ratio, 15-64 year olds"
Liberia,LBR,2020,0.77914107
Libya,LBY,2015,1.3171356
Libya,LBY,2020,1.3567035
Lithuania,LTU,2015,1.0318627
Lithuania,LTU,2020,1.026764
Luxembourg,LUX,2015,0.97318333
Luxembourg,LUX,2020,1.0026041
Macao,MAC,2015,1.0095147
Macao,MAC,2020,1.015625
Malawi,MWI,2015,0.9209486
Malawi,MWI,2020,0.9834863
Malaysia,MYS,2015,0.99133444
Malaysia,MYS,2020,1.0058725
Maldives,MDV,2015,0.95860285
Maldives,MDV,2020,0.96107054
Mali,MLI,2015,1.1149426
Mali,MLI,2020,1.1389729
Malta,MLT,2015,0.9887834
Malta,MLT,2020,1.0024855
Mauritania,MRT,2015,0.76124567
Mauritania,MRT,2020,0.81803274
Mauritius,MUS,2015,0.97902095
Mauritius,MUS,2020,1.005786
Mexico,MEX,2015,0.9845838
Mexico,MEX,2020,1.0009834
Moldova,MDA,2015,1.0224719
Moldova,MDA,2020,1.0242991
Mongolia,MNG,2015,1.0710498
Mongolia,MNG,2020,1.068323
Morocco,MAR,2015,0.7686781
Morocco,MAR,2020,0.8092715
Mozambique,MOZ,2015,0.6419753
Mozambique,MOZ,2020,0.73155737
Myanmar,MMR,2015,0.9647651
Myanmar,MMR,2020,0.9138187
Namibia,NAM,2015,1.1090047
Namibia,NAM,2020,1.0937972
Nepal,NPL,2015,0.86006826
Nepal,NPL,2020,0.8973966
Netherlands,NLD,2015,1
Netherlands,NLD,2020,1.0162115
New Zealand,NZL,2015,1.0682465
New Zealand,NZL,2020,1.0512334
Nicaragua,NIC,2015,1.0864553
Nicaragua,NIC,2020,1.0889487
Niger,NER,2015,0.6179402
Niger,NER,2020,0.7421203
North America,,2015,1.0062159
North America,,2020,1.0121418
Norway,NOR,2015,1.0292888
Norway,NOR,2020,1.0268232
Oceania,,2015,0.99664956
Oceania,,2020,0.9994314
Pakistan,PAK,2015,0.72861356
Pakistan,PAK,2020,0.80878186
Panama,PAN,2015,1.0467955
Panama,PAN,2020,1.0410156
Papua New Guinea,PNG,2015,0.79337233
Papua New Guinea,PNG,2020,0.8365019
Paraguay,PRY,2015,1.0095694
Paraguay,PRY,2020,1.0148402
Peru,PER,2015,0.93945515
Peru,PER,2020,0.95866144
Philippines,PHL,2015,1.0563698
Philippines,PHL,2020,1.043337
Poland,POL,2015,1.0230572
Poland,POL,2020,1.0218855
Portugal,PRT,2015,1.0643342
Portugal,PRT,2020,1.0760043
Qatar,QAT,2015,1.2034314
Qatar,QAT,2020,1.2082826
Reunion,REU,2015,1.1493671
Reunion,REU,2020,1.1639751
Romania,ROU,2015,0.9829901
Romania,ROU,2020,0.99381626
Russia,RUS,2015,1.0078193
Russia,RUS,2020,1.0025884
Rwanda,RWA,2015,1.0021691
Rwanda,RWA,2020,1.025145
Saudi Arabia,SAU,2015,0.98297876
Saudi Arabia,SAU,2020,0.9818731
Senegal,SEN,2015,0.7361111
Senegal,SEN,2020,0.7874494
Serbia,SRB,2015,1.0052357
Serbia,SRB,2020,1.0172117
Sierra Leone,SLE,2015,0.73006135
Sierra Leone,SLE,2020,0.79211473
Singapore,SGP,2015,0.98732173
Singapore,SGP,2020,1.0030675
Slovakia,SVK,2015,1.0061586
Slovakia,SVK,2020,1.0107034
Slovenia,SVN,2015,1.0236887
Slovenia,SVN,2020,1.0285715
South Africa,ZAF,2015,1.012884
South Africa,ZAF,2020,1.0320388
South America,,2015,1.0433342
South America,,2020,1.0474987
South Korea,KOR,2015,0.97481483
South Korea,KOR,2020,0.9948979
Spain,ESP,2015,1.0206835
Spain,ESP,2020,1.0326855
Sri Lanka,LKA,2015,1.016
Sri Lanka,LKA,2020,1.0254902
Sudan,SDN,2015,0.84210527
Sudan,SDN,2020,0.9210526
Sweden,SWE,2015,1.0264055
Sweden,SWE,2020,1.0152028
Switzerland,CHE,2015,0.97484756
Switzerland,CHE,2020,0.9854629
Syria,SYR,2015,0.88116306
Syria,SYR,2020,0.9234508
Taiwan,TWN,2015,0.99435484
Taiwan,TWN,2020,1.0062892
Tajikistan,TJK,2015,1.0810256
Tajikistan,TJK,2020,1.119497
Tanzania,TZA,2015,0.9394856
